day.s,site,stage,sex,mass_div_100,year,area,uid,lnCort
17.4,1,P,F,2.75,2016,A_area_crow,R489,3.15
19.5,1,P,F,3.45,2016,B_area_crow,R489,3.53
13.6,1,A,F,6.4,2017,A_area_crow,R489,2.38
14.4,1,A,F,6.65,2017,A_area_crow,R489,3.62
15.6,1,A,F,6.15,2017,A_area_crow,R489,4.65
13.6,1,A,F,7.15,2018,A_area_crow,R489,5.13
14.3,1,A,F,7,2018,A_area_crow,R489,5.99
15.6,1,A,F,6.9,2018,A_area_crow,R489,4.39
17,1,A,F,6.55,2018,A_area_crow,R489,4.58
16.3,1,A,F,5.8,2020,cheerio_tree_crow,R489,4.14
16.1,1,P,M,1.9,2016,A_area_crow,R491,3.17
17.3,1,P,M,2.2,2016,A_area_crow,R491,3.85
16.6,0,P,F,2.6,2016,playground_paradise,R494,3.27
20.3,0,P,F,3.55,2016,playground_paradise,R494,3.73
20.6,0,A,F,6.2,2017,W_paradise,R494,4.02
15,0,A,F,6.65,2018,U_paradise,R494,4.24
16.1,1,P,M,1.5,2016,580_crow,R496,2.92
17.3,1,P,M,2.05,2016,580_crow,R496,3.43
19.4,1,P,M,2.4,2016,580_crow,R496,3.83
16,1,P,M,0.9,2016,580_crow,R498,4.01
16,1,A,M,4.9,2016,cedar_crow,R499,3.18
17.4,1,A,M,4.45,2016,cedar_crow,R499,3.31
19.5,1,A,M,5.85,2016,oak_crow,R499,3.68
13.7,1,A,M,8.8,2017,B_area_crow,R499,4.13
14.3,1,A,M,8.55,2017,B_area_crow,R499,3.95
15.2,1,A,M,8.6,2017,J_tree_crow,R499,4.9
15.6,1,A,M,8.6,2017,A_area_crow,R499,5.05
